name,owners,price,score,positive,negative,recommendations,playtime,genres
RUGBY 20,10000,19.99,0,123,57,119,0,"Simulation,Sports"
The Case Book of Arne,10000,9.99,0,222,19,212,0,"Adventure,Indie,RPG"
Threshold,10000,3.99,0,157,36,108,0,"Indie,Early Access"
Tiny Troopers,150000,4.99,0,923,220,950,106,"Action,Indie,Strategy"
Lolita Expedition,35000,4.73,0,149,5,140,786,"Adventure,Indie,RPG,Strategy,Early Access"
候鸟,10000,8.79,0,143,2,166,0,Adventure
The Snowboard Game,10000,14.99,0,247,47,270,0,"Action,Indie,Simulation,Sports"
Lust for Darkness,150000,14.99,0,2354,1050,3316,126,"Adventure,Indie"
Awesomenauts - the 2D moba,3500000,0.0,0,22365,4000,11819,261,"Action,Free to Play,Indie,Strategy"
Weird Hero,35000,3.99,0,115,47,135,204,"Action,Indie"
Fairy Bloom Freesia,150000,7.99,0,911,160,548,102,"Action,Indie"
Waves,150000,4.99,0,1022,61,943,116,"Action,Indie"
Supaplex,35000,9.99,0,159,8,157,181,"Action,Casual,Indie"
Dog Sled Saga,35000,7.99,0,570,51,488,173,"Indie,Racing,RPG,Sports"
Labyrinthine,750000,9.99,0,6256,900,5795,298,"Action,Adventure,Indie,Early Access"
Disney Dreamlight Valley,75000,29.99,0,1071,73,1276,1331,"Adventure,Casual,Simulation,Early Access"
Farmtale,10000,4.99,0,173,59,217,69,"Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access"
Rogue Trooper,75000,9.99,0,355,24,353,17,Action
Hellsinker.,10000,9.99,0,140,11,143,0,"Action,Casual,Indie"
Sister Travel,35000,14.99,0,437,41,442,0,"Adventure,Indie,RPG"
MXGP 2020 - The Official Motocross Videogame,10000,39.99,0,451,119,353,0,"Racing,Simulation,Sports"
Sea Salt,75000,14.99,0,437,103,456,49,"Action,Adventure,Indie,Strategy"
15 Days,35000,9.99,0,44,90,122,0,"Adventure,Casual,Indie"
Legendary Tales,150000,34.99,0,1202,256,1313,1210,"Action,Adventure,Indie,RPG,Simulation,Early Access"
Bastide,10000,9.99,0,199,62,240,242,"Action,Casual,Indie,Simulation,Strategy,Early Access"
Sex Standing,0,3.99,0,0,0,124,0,"Action,Adventure"
SimAirport,350000,9.99,0,2675,731,3303,1270,"Casual,Indie,Simulation,Strategy"
Combat Mission Shock Force 2,10000,59.99,0,497,82,424,47336,"Simulation,Strategy"
Who Am I: The Tale of Dorothy,35000,0.0,0,349,28,358,119,"Adventure,Indie,Simulation"
Railroad Corporation,75000,34.99,0,722,244,814,690,"Simulation,Strategy"
Konung 2,75000,0.59,0,130,27,127,0,RPG
Among Us,35000000,3.99,0,577656,51069,553709,669,Casual
Melody/心跳旋律,10000,3.99,0,118,19,115,23,"Casual,Indie,Simulation"
Giraffe Town,10000,1.99,0,197,44,181,0,"Action,Adventure,Indie"
TOKYO WARFARE,35000,4.99,0,264,54,301,260,Action
Caesar™ IV,150000,9.99,0,385,172,519,4322,"Simulation,Strategy"
Dust to the End,150000,11.99,0,774,159,820,627,"Adventure,Indie,RPG,Simulation,Strategy"
Assassin’s Creed® Rogue,750000,19.99,0,10220,1863,11467,708,"Action,Adventure"
Natural Locomotion,150000,9.99,0,435,68,493,3090,"Simulation,Utilities"
Space Codex,350000,0.51,0,295,63,192,218,Casual
Sex Hotel Simulator 🏩,0,9.99,0,0,0,202,0,"Adventure,Casual,Simulation"
Norland,150000,23.99,0,2441,780,2994,1463,"Simulation,Strategy,Early Access"
WE ARE FOOTBALL,75000,34.99,0,917,269,682,1003,"Simulation,Sports,Strategy"
Cold Waters,150000,39.99,0,3105,489,3483,1004,"Indie,Simulation,Strategy"
The Backrooms: Survival,10000,6.99,0,446,65,428,0,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access"
YumeCore,10000,4.99,0,153,7,133,39,Action
Wonder Boy: The Dragon's Trap,150000,19.99,0,1817,288,1575,168,"Action,Adventure,Indie"
F.E.A.R. 3,1500000,19.99,0,7498,2905,5192,150,Action
Sherlock Holmes Chapter One,35000,44.99,0,1328,296,1448,781,"Action,Adventure"
Path of Exile,35000000,0.0,0,167454,16653,1075,391,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG"
Hydrophobia: Prophecy,350000,4.99,0,1346,905,1855,30,"Action,Adventure,Indie,Strategy"
Nirvana Pilot Yume,75000,9.99,0,95,24,111,0,"Action,Adventure,Indie,Racing,Sports"
Lust Island🌴[18+],0,9.99,0,0,0,167,0,"Adventure,Casual,RPG"
XERA: Survival,750000,0.0,0,4527,2084,1931,71,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy"
Princess Remedy 2: In A Heap of Trouble,35000,4.99,0,530,51,317,68,"Action,Indie,RPG"
Chronicles of Teddy,35000,14.99,0,206,89,231,28,"Action,Adventure,Indie,RPG"
Capcom Beat 'Em Up Bundle,75000,19.99,0,811,118,715,195,Action
Song of Farca,35000,19.99,0,529,93,497,187,"Adventure,Indie,Simulation"
Bounty Train,350000,0.99,0,986,429,1072,421,"Indie,Simulation,Strategy"
Praetorians - HD Remaster,10000,19.99,0,618,63,557,195,Strategy
Crashday Redline Edition,75000,11.99,0,1207,159,1151,179,"Action,Racing"
Chushpan Simulator,10000,1.39,0,202,32,291,0,"Action,Adventure,RPG,Simulation"
Inscryption,1500000,19.99,0,71542,2107,68478,687,"Adventure,Indie,Strategy"
Broken Roads,10000,31.49,0,53,57,119,0,RPG
Oozi: Earth Adventure,35000,9.99,0,743,121,669,300,"Casual,Indie"
约拍女神 Private Model,10000,4.99,0,85,72,152,0,"Indie,RPG,Simulation"
Rayman® Legends,0,29.99,0,0,0,5320,0,"Action,Adventure"
Hentai Furry 2,10000,0.99,0,0,0,156,0,"Casual,Indie"
Ace Combat Assault Horizon - Enhanced Edition,350000,0.0,0,2949,2132,3194,258,"Action,Simulation"
Dishonored,3500000,9.99,0,66292,1696,51274,417,"Action,Adventure"
Containment: The Zombie Puzzler,75000,4.99,0,215,56,117,29,"Casual,Indie"
Need for Speed™ Unbound,75000,69.99,0,1929,564,2584,907,"Action,Racing"
D4: Dark Dreams Don’t Die -Season One-,150000,14.99,0,1530,366,1653,286,"Adventure,Casual,Indie"
Cute Honey 3,75000,1.99,0,386,216,571,135,Casual
BatMUD,10000,4.99,0,116,22,134,0,"Massively Multiplayer,RPG"
已下架,75000,0.0,0,78,93,101,0,Free to Play
Unseen Diplomacy,35000,2.99,0,138,17,154,0,"Action,Indie,Simulation"
Novus Inceptio,35000,12.99,0,675,520,991,84,"Adventure,Indie,RPG,Simulation,Early Access"
12 Labours of Hercules VIII: How I Met Megara,10000,2.99,0,127,4,101,0,"Adventure,Strategy"
The TakeOver,35000,19.99,0,660,110,710,0,"Action,Casual,Indie"
Forsaken Remastered,10000,19.99,0,141,17,145,41,"Action,Adventure"
Trainz: A New Era,350000,19.99,0,1550,575,1872,3865,Simulation
Zero G Arena,35000,9.99,0,661,76,260,38,"Action,Indie"
Supercharged Robot VULKAISER,35000,4.99,0,263,17,149,209,"Action,Indie"
Xenonauts 2,75000,29.99,0,439,152,571,0,"Simulation,Strategy,Early Access"
Eastside Hockey Manager,350000,19.99,0,1033,178,1035,307,"Simulation,Sports"
Crop Rotation,10000,9.99,0,203,9,214,0,"Indie,Strategy"
Eroico,10000,5.59,0,0,0,988,75,Action
Animal Shelter,75000,15.99,0,851,130,866,1347,"Adventure,Casual,Indie,Simulation"
Boogeyman,75000,4.99,0,432,97,475,163,"Action,Indie,Strategy"
Four Last Things,75000,2.71,0,731,34,705,79,"Adventure,Indie"
Duck Life: Adventure,10000,5.99,0,208,22,218,1803,"Adventure,Casual,Racing,RPG,Sports"
Little Noah: Scion of Paradise,35000,14.99,0,598,41,628,60,"Action,Casual,RPG"
Tales From Off-Peak City Vol. 1,35000,9.99,0,382,3,330,67,"Adventure,Indie"
Automation Empire,150000,29.99,0,1573,764,2284,3024,"Indie,Simulation,Strategy"
Kathy Rain: Director's Cut,10000,14.99,0,314,17,294,0,"Adventure,Indie"
"Honey, I Joined a Cult",75000,19.99,0,686,158,730,297,"Casual,Indie,Simulation,Strategy,Early Access"
Zeepkist,35000,11.99,0,409,14,396,0,"Action,Indie,Racing,Sports,Early Access"
The Archotek Project,350000,0.0,0,439,338,287,31,"Casual,Indie,Simulation,Strategy,Early Access"
QUAKE,1500000,9.99,0,10055,428,9025,86,Action
Azure Striker Gunvolt 2,10000,9.99,0,341,23,344,363,"Action,Indie"
Marauders,150000,29.99,0,2933,746,2263,655,"Action,Early Access"
CreaVures,75000,4.99,0,132,35,102,15,Indie
Efflorescence of Lust,35000,1.99,0,235,88,493,85,"Casual,Indie,RPG,Strategy"
RaiOhGar: Asuka and the King of Steel,35000,14.99,0,203,34,211,173,"Indie,RPG"
Alice's Patchwork,350000,4.99,0,177,31,133,359,Casual
Godhood,35000,26.99,0,679,237,808,580,"RPG,Simulation,Strategy"
Nuclear Option,35000,14.99,0,443,25,442,0,"Action,Indie,Simulation,Early Access"
FRACT OSC,75000,14.99,0,482,82,382,54,Indie
Last Room,75000,2.99,0,232,109,314,338,"Adventure,Indie,Sports,Strategy"
Lamplight City,75000,14.99,0,500,55,493,459,"Adventure,Indie"
Yolo Space Hacker,10000,24.99,0,152,6,154,0,"Adventure,Casual,Indie,Simulation,Strategy"
YUME 3,35000,4.99,0,246,59,290,35,"Casual,Indie,Simulation,Strategy"
Putrefaction,150000,0.99,0,287,133,307,268,"Action,Indie"
Happiness Double Room,10000,11.69,0,0,0,391,0,"Adventure,Casual,Indie,RPG,Simulation,Strategy"
Ori and the Blind Forest,1500000,0.0,0,46417,2229,41526,345,Action
ABRISS - build to destroy,35000,16.99,0,249,27,223,5,"Indie,Simulation,Strategy,Early Access"
Adventures of Bertram Fiddle 2: A Bleaker Predicklement,35000,8.99,0,126,39,147,0,"Adventure,Casual,Indie"
Panzer Strategy,35000,29.99,0,305,160,431,0,"Indie,Strategy"
Sands of Salzaar,750000,14.99,0,16022,2971,17745,654,"Adventure,Indie,RPG,Strategy"
Harmonia,35000,9.99,0,489,16,476,242,"Adventure,Casual,Simulation"
Seek Girl Ⅶ,75000,1.99,0,840,307,1069,123,"Casual,Indie"
Darkwood,750000,14.99,0,12466,709,11703,117,"Action,Adventure,Indie,RPG"
Remorse: The List,10000,14.99,0,97,18,104,0,"Action,Indie"
Rogue Warrior,150000,4.99,0,782,388,822,8,Action
Shaolin vs Wutang,35000,13.99,0,855,73,862,215,"Action,Casual,Indie"
The Butterfly Sign,150000,4.99,0,123,69,131,255,"Action,Adventure,Indie"
fault - StP - LIGHTKRAVTE,10000,17.99,0,218,30,219,0,"Adventure,Indie"
Disgaea 4 Complete+,35000,39.99,0,546,58,484,1307,"RPG,Strategy"
Ideology in Friction,150000,24.99,0,1253,147,1308,298,"Indie,RPG"
Slap The Fly,75000,5.39,0,178,66,180,154,"Indie,Simulation"
The Leisure of Grisaia,35000,2.99,0,255,22,258,263,"Adventure,Casual"
Strike Suit Zero,750000,19.99,0,1253,372,1175,76,"Action,Indie,Simulation"
Halls of Torment,10000,4.49,0,715,34,878,258,"Action,Indie,RPG,Early Access"
Desktop Farm,75000,2.99,0,460,159,548,554,"Casual,Indie,Simulation,Strategy"
Dark Fall: The Journal,75000,4.99,0,169,51,176,0,Adventure
云端之约,35000,7.99,0,405,23,388,65,"Indie,RPG"
Flashback,0,9.99,0,0,0,442,0,"Action,Adventure,RPG"
Sol Survivor,150000,9.99,0,354,37,279,1005,"Indie,Strategy"
WW2: Bunker Simulator,10000,11.99,0,148,39,165,0,"Action,Indie,Simulation,Early Access"
OK K.O.! Let’s Play Heroes,10000,19.99,0,105,8,106,0,"Action,Adventure"
Rosenkreuzstilette Freudenstachel,10000,13.99,0,98,12,101,0,"Action,Indie"
Superfuse,150000,24.99,0,337,270,571,0,"Action,Early Access"
System Shock 2,750000,9.99,0,5978,352,5062,98,"Action,RPG"
Insurgency,3500000,14.99,0,113659,10261,85803,244,"Action,Indie,Strategy"
Dead6hot,350000,1.99,0,212,259,303,243,"Action,Casual"
Horror Story: Hallowseed,10000,19.99,0,142,40,129,0,"Indie,Simulation"
Millie,150000,3.99,0,563,131,425,179,"Action,Casual,Indie"
Mirror's Edge™,3500000,19.99,0,28497,4053,25161,138,"Action,Adventure"
Xeodrifter™,35000,9.99,0,583,182,650,21,"Action,Indie"
Silent Hunter 5®: Battle of the Atlantic,150000,9.99,0,981,1261,2164,314,Simulation
Fran Bow,750000,14.99,0,11175,334,10091,447,"Adventure,Indie"
Tren0,75000,1.49,0,200,61,191,0,"Adventure,Casual,Indie,RPG"
PAC-MAN™ and the Ghostly Adventures,10000,0.0,0,170,39,146,7,Action
Octogeddon,150000,8.88,0,578,62,604,1378,"Action,Casual,Indie,Strategy"
Black Future '88,75000,19.99,0,439,142,400,73,"Action,Adventure"
Rum & Gun,10000,4.99,0,120,7,119,0,"Action,Adventure,Indie,RPG,Early Access"
Bunker Punks,35000,14.99,0,296,99,276,208,"Action,Indie"
Fate of the World: Tipping Point,150000,18.99,0,330,90,374,0,"Strategy,Indie,Casual,Simulation"
Tilesweeper,35000,4.99,0,247,38,275,890,Casual
The Odyssey: Winds of Athena,150000,4.99,0,344,196,450,225,"Action,Adventure,Indie,Simulation,Strategy"
Amnesia™: Memories,150000,9.99,0,2758,235,2509,319,Adventure
Instruments of Destruction,35000,19.99,0,476,14,454,138,"Action,Casual,Indie,Simulation,Strategy,Early Access"
Vermillion - VR Painting,10000,19.99,0,411,17,408,627,"Casual,Indie,Simulation"
DEMON'S TILT,35000,19.99,0,609,35,603,0,"Action,Indie"
Suicide Guy,350000,4.99,0,1272,198,1111,363,Action
LEGO® STAR WARS™: The Force Awakens,750000,19.99,0,4849,849,3462,505,"Action,Adventure"
Rescue Operation,10000,3.99,0,155,26,174,0,"Action,Adventure,Indie"
Let Them Come,75000,7.99,0,865,126,836,187,"Action,Indie"
МЕМОЛОГИЯ,10000,0.49,0,206,35,206,0,"Action,Adventure,Casual,Indie,RPG,Simulation"
Bionic Commando: Rearmed,350000,9.99,0,566,361,589,98,Action
Hundred Days - Winemaking Simulator,75000,24.99,0,483,143,587,105,"Indie,Simulation,Strategy"
Morbid: The Seven Acolytes,35000,24.99,0,462,137,470,116,"Action,Adventure,Indie,RPG"
X2: The Threat,350000,4.99,0,326,66,323,80,Strategy
Music Killer,35000,1.99,0,208,91,363,0,"Action,Indie"
The Slaverian Trucker,10000,11.99,0,138,21,142,0,"Simulation,Early Access"
The Settlers® : Rise of an Empire - History Edition,35000,11.99,0,304,86,381,6808,Strategy
Hue,150000,2.99,0,1674,105,905,238,"Adventure,Indie"
Timberman,750000,0.99,0,10132,671,8090,151,"Action,Casual,Indie"
WhiteLily 1：丽丽公主,75000,2.99,0,1144,63,192,0,"Adventure,Casual,Indie,RPG,Strategy"
OneShot,750000,9.99,0,29225,535,27182,300,"Adventure,Casual,Indie"
Five Nations,10000,19.99,0,110,18,120,0,"Indie,Strategy"
Versus: Battle of the Gladiator,150000,0.0,0,310,183,199,66,"Action,Indie"
American Conquest,150000,4.99,0,319,159,409,34,Strategy
Fairy Tale Mysteries: The Puppet Thief,75000,9.99,0,197,112,161,220,"Adventure,Casual"
Star Trek™: Bridge Crew,350000,9.99,0,2173,655,2102,531,"Casual,RPG,Simulation"
Carrier Deck,75000,9.99,0,715,96,785,1211,Simulation
Space Food Truck,35000,9.99,0,188,72,195,588,"Indie,Strategy"
D3DGear - Game Recording and Streaming Software,10000,34.99,0,356,100,377,0,"Audio Production,Software Training,Utilities,Video Production"
"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",75000,94.99,0,2370,581,2824,1034,"Animation & Modeling,Audio Production,Design & Illustration,Photo Editing,Software Training,Video Production"
Retro Game Crunch,75000,9.99,0,321,83,266,120,"Action,Adventure,Indie"
Moss,350000,19.49,0,2499,133,2194,117,"Action,Adventure,Casual"
メモリーズオフ-Innocent Fille- for Dearest,10000,39.99,0,216,14,215,0,Adventure
Dying Light,7500000,29.99,0,316493,16568,242718,1215,"Action,RPG"
Terror of Hemasaurus,35000,10.39,0,190,11,195,28,"Action,Adventure"
BLACKTAIL,35000,23.99,0,147,22,193,22,"Action,Adventure,RPG"
EMERGENCY 4 Deluxe,150000,17.99,0,1041,72,1088,402,"Simulation,Strategy"
INDIKA,35000,22.49,0,908,101,1046,0,Adventure
Cleo - a pirate's tale,35000,14.99,0,359,2,288,0,"Adventure,Indie"
ANIME WAR — Modern Campaign,35000,1.99,0,354,64,324,0,"Action,Adventure"
Boundary,350000,22.49,0,7228,2536,9038,383,"Action,Early Access"
Commander: The Great War,35000,29.99,0,199,48,216,47,Strategy
RiMS Racing,35000,49.99,0,593,436,219,0,Racing
SMITE®,15000000,0.0,0,81293,20315,1358,196,"Action,Free to Play"
Memory Oblivion Box,35000,9.99,0,830,62,640,36,"Adventure,Casual,Indie"
Panzermadels: Tank Dating Simulator,35000,9.99,0,1356,117,1161,113,"Adventure,Casual,Indie,RPG,Simulation"
SCP: Pandemic,75000,19.99,0,1210,333,1210,42,"Action,Indie,Massively Multiplayer,Strategy,Early Access"
Into the Radius VR,350000,29.99,0,4226,361,4266,376,Indie
Alien Shooter 2: Reloaded,350000,4.99,0,2007,168,1290,269,"Action,Indie,RPG"
Eon Altar,150000,1.24,0,629,98,535,477,"Action,Adventure,Indie,RPG"
The Room,750000,4.99,0,20504,467,19950,157,"Adventure,Indie"
Kinetic Void,150000,19.99,0,276,1251,1364,96,"Action,Indie,Simulation"
East Trade Tycoon,35000,3.59,0,153,36,218,0,"Casual,Simulation"
Helicopter Simulator VR 2021 - Rescue Missions,10000,17.99,0,108,20,125,0,"Action,Simulation,Early Access"
Deadnaut,75000,9.99,0,100,51,121,218,"Indie,RPG,Strategy"
Backrooms Rec.,10000,9.99,0,112,32,130,0,"Action,Adventure,Indie,Early Access"
Ninja Stealth,350000,0.99,0,707,319,584,3242,"Casual,Indie,Strategy"
Shadows Over Loathing,10000,19.54,0,0,0,252,310,"Adventure,Indie,RPG"
Maitetsu,35000,14.99,0,306,17,300,1760,Casual
天下镖局,10000,17.99,0,79,43,117,0,"Adventure,Indie,Simulation,Strategy,Early Access"
Ancient Enemy,10000,14.99,0,324,27,306,102,"Indie,RPG,Strategy"
Sex of Thrones 👑,0,9.29,0,0,0,105,0,"Adventure,Indie,RPG"
Burger Shop,10000,6.99,0,149,1,145,0,"Action,Casual,Simulation"
奇迹一刻 Surmount,35000,14.99,0,1213,82,1055,525,"Adventure,Indie,Simulation,Strategy"
Thimbleweed Park™,350000,19.99,0,3143,207,2803,449,"Adventure,Indie"
Sonny,75000,4.99,0,216,153,347,0,"Indie,RPG,Strategy"
Elemental Girls,350000,0.51,0,211,40,223,396,"Casual,Indie"
My Stepmom is a Futanari,10000,0.99,0,0,0,152,0,Adventure
Perpetuum,35000,0.0,0,524,203,594,288,"Indie,Massively Multiplayer,RPG"
UNDER NIGHT IN-BIRTH Exe:Late,75000,29.99,0,840,84,701,645,Action
My So-called Future Girlfriend,10000,4.99,0,218,13,178,0,"Casual,Indie,Simulation"
Left 4 Dead,3500000,9.99,0,40244,1610,34087,141,Action
Desperados: Wanted Dead or Alive,350000,4.99,0,1540,242,1536,30,"Action,Strategy"
A Twisted Path to Renown,0,26.99,0,0,0,196,0,"Action,Indie,Massively Multiplayer,Simulation,Early Access"
Kalimba,75000,9.99,0,399,25,391,0,"Action,Casual"
Heart of Crown PC,75000,24.99,0,418,100,465,0,"Indie,RPG,Simulation,Strategy"
Kismet,10000,0.0,0,125,12,121,0,"Casual,Indie"
Demon Hunter 3: Revelation,35000,9.99,0,193,25,135,162,"Adventure,Casual"
Egyptian Senet,10000,3.99,0,237,62,151,108,"Casual,Indie,Simulation,Sports,Strategy"
Guts and Glory,350000,14.99,0,1758,444,1504,86,"Action,Casual,Indie,Racing"
V-Rally 4,35000,29.99,0,421,230,214,72,Racing
Ultimate Fishing Simulator VR,35000,29.99,0,396,76,448,427,"Casual,Indie,Simulation,Sports"
Sundered®: Eldritch Edition,350000,19.99,0,3437,714,3265,219,"Action,Adventure,Indie"
Interstellar Marines,350000,9.99,0,4376,3471,4205,49,"Action,Indie,RPG,Simulation,Early Access"
Incredibox,75000,4.99,0,1362,34,1297,70,"Casual,Indie"
Poker Night 2,1500000,0.0,0,5847,875,5108,239,"Casual,Sports"
Travellers Rest,350000,11.99,0,2883,273,2983,954,"Adventure,Casual,Indie,RPG,Simulation,Early Access"
SWAT 3: Tactical Game of the Year Edition,75000,9.99,0,166,107,260,191,"Violent,Action,Simulation"
Behind the Frame: The Finest Scenery,150000,12.99,0,3247,116,2886,52,"Adventure,Casual,Indie"
Happy Quest,75000,1.99,0,623,126,722,62,"Adventure,Casual,Indie,Strategy"
LEGIONCRAFT,35000,12.99,0,963,231,1106,528,"Indie,RPG,Strategy,Early Access"
Unferat,10000,5.99,0,102,13,104,0,"RPG,Simulation"
Ova Magica,10000,22.49,0,153,4,153,0,"Casual,Indie,RPG,Simulation,Early Access"
MoonBase Commander,35000,5.99,0,134,15,131,1517,Strategy
Kings of Kung Fu,75000,0.99,0,442,241,593,135,"Action,Indie"
Candle,150000,0.99,0,732,197,704,231,"Adventure,Indie"
Monolith,150000,7.99,0,1484,28,1391,515,"Action,Indie"
Serious Sam: Kamikaze Attack!,10000,2.99,0,110,16,122,0,"Action,Indie"
GreedFall,750000,34.99,0,12218,3404,13265,370,RPG
Cat and Ghostly Road,10000,4.89,0,113,8,103,0,"Adventure,Indie"
Fell Seal: Arbiter's Mark,350000,29.99,0,4358,500,3807,2387,"Indie,RPG,Strategy"
Frozen Cortex,35000,24.99,0,191,77,162,133,"Indie,Sports,Strategy"
Pacific Storm Allies,75000,7.99,0,113,78,167,180,"Simulation,Strategy"
Re Angel,10000,15.99,0,136,2,126,0,"Adventure,Indie"
Godus Wars,75000,14.99,0,86,479,423,1,"Casual,Indie,Simulation,Strategy,Early Access"
D'LIRIUM,35000,4.99,0,819,41,751,73,"Action,Adventure,Indie,Early Access"
KeeperRL,150000,15.99,0,853,109,864,2004,"RPG,Strategy,Early Access"
Bladed fury,150000,9.99,0,2611,410,2748,203,"Action,Adventure,Casual,Indie,RPG"
Kill The Bad Guy,75000,9.99,0,214,129,101,187,"Action,Indie,Simulation,Strategy"
E.T. Armies,150000,14.99,0,143,151,135,71,Action
Sparklite,35000,24.99,0,274,77,257,44,"Action,Adventure,Indie,RPG"
Two Worlds II HD,750000,19.99,0,3774,2364,3509,414,RPG
"Calm Down, Stalin",35000,3.99,0,846,99,864,64,"Casual,Indie"
Les Fleursword,35000,0.0,0,158,146,280,468,"Adventure,Indie"
Stubbs the Zombie in Rebel Without a Pulse,150000,19.99,0,1283,184,932,106,Action
VCB: Why City (Beta Version),350000,0.0,0,1895,426,1835,0,"Action,Adventure,Indie,Racing"
ATOMEGA,75000,9.99,0,1033,300,1185,507,"Action,Indie"
FINAL FANTASY® XIII,750000,15.99,0,10648,3723,11526,939,RPG
Stronghold Legends: Steam Edition,150000,4.49,0,1427,243,1401,121,"Simulation,Strategy"
Conan Exiles,3500000,15.99,0,62942,16629,54694,1527,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy"
The Marvellous Miss Take,75000,19.99,0,255,56,126,196,"Action,Casual,Indie"
Dealer's Life,35000,7.49,0,927,69,933,411,"Casual,Indie,Simulation"
Hammerwatch,750000,9.99,0,5603,637,3490,192,"Action,Adventure,Indie,RPG"
Age of Empires III: Definitive Edition,750000,19.99,0,22125,5688,24290,529,Strategy
The Last Hope,150000,4.99,0,344,552,188,244,"Action,Adventure,Casual,Indie,RPG,Simulation"
Extreme Jump,10000,1.99,0,108,11,114,0,"Adventure,Casual,Indie,Simulation,Sports"
Battle Chess: Game of Kings™,75000,29.99,0,156,148,294,0,"Casual,Strategy"
Duelists of Eden,35000,4.99,0,477,22,510,159,"Action,Indie"
Don't Shout Together,0,4.24,0,0,0,211,0,"Action,Indie,Simulation"
Hide & Hold Out - H2o,35000,17.99,0,346,295,485,376,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access"
AQUARIUM,10000,20.46,0,235,3,230,0,Adventure
Shadows on the Vatican Act I: Greed,150000,0.69,0,515,183,145,188,"Adventure,Indie"
Sword and Fairy 3,75000,7.99,0,931,176,1043,4524,RPG
Tower Hunter: Erza's Trial,75000,4.31,0,1140,349,1366,1558,"Action,Adventure,Casual,Indie,RPG"
3 Minute Heroes,10000,9.99,0,170,22,169,657,Strategy
Uriel's Chasm,350000,4.99,0,481,2247,268,202,"Adventure,Casual,Indie"
BOX RUSH 2: Ice worlds,10000,10.99,0,72,33,103,0,Casual
Cross Princess,35000,2.99,0,671,23,640,0,"Adventure,Casual,Indie"
Three Kingdoms: Innovatory,0,10.49,0,0,0,190,0,"Indie,RPG,Strategy,Early Access"
Moebius: Empire Rising,75000,14.99,0,228,74,139,506,"Adventure,Indie"
1$ Fun: Clock Simulator,10000,1.0,0,357,47,318,0,Indie
Forbidden Love With The Ghost Girl,10000,14.99,0,168,19,179,0,"Adventure,Indie"
Lens Life,10000,3.99,0,0,0,198,53,Casual
Broken Age,750000,14.99,0,6169,1220,4121,283,"Adventure,Casual,Indie"
